productkey|currencyalternatekey|first_name|last_name|orderdatekey|orderquantity|unitprice|secretcode
214|USD|Raman|Dominic|2013-02-06|1|34.99|2ba8a3db0d
214|USD|Raman|Kari|2013-01-28|1|34.99|be99fccac8
214|USD|Raman|Pedro|2013-01-29|1|34.99|d3f906db39
214|USD|Rana|Carmen|2013-02-10|1|34.99|01343cdbd4
214|USD|Reed|Danielle|2013-01-22|1|34.99|a25d59123f
214|USD|Reed|Victoria|2013-01-13|1|34.99|b174657139
214|USD|Richardson|Alexa|2013-02-16|1|34.99|6f89ba30b1
214|USD|Richardson|Catherine|2013-02-09|1|34.99|14cef22866
214|USD|Robinson|John|2013-02-08|1|34.99|b6da0de2f8
214|USD|Rodriguez|Hunter|2013-02-08|1|34.99|d90842b2db
214|USD|Rodriguez|Jillian|2013-02-12|1|34.99|e768d22926
214|USD|Rodriguez|Patricia|2013-01-17|1|34.99|c7eed4cf16
214|USD|Rogers|Brian|2013-01-28|1|34.99|4dbe63ac3d
214|USD|Romero|Daisy|2013-01-13|1|34.99|8ec12fac1d
214|USD|Ruiz|Eddie|2013-02-19|1|34.99|2ba25fa5be
214|USD|Russell|Brandon|2013-02-03|1|34.99|47773920d3
214|USD|Russell|Hailey|2012-12-28|1|34.99|ba7ca7407e
214|USD|Sanchez|Katelyn|2013-01-27|1|34.99|fc8756e6fe
214|USD|Schmidt|Kari|2013-02-15|1|34.99|426986ee4b
214|USD|Serventi|Alice|2013-02-18|1|34.99|1a4e4291d6
214|USD|Shan|Austin|2013-01-10|1|34.99|6f0b6c0368
214|USD|Shan|Maurice|2013-01-01|1|34.99|0f4ca5da5b
214|USD|Sharma|Gilbert|2013-02-22|1|34.99|eaf460a6e6
214|USD|She|Cassie|2013-02-14|1|34.99|f6d19ee32c
214|USD|She|Dennis|2013-01-25|1|34.99|9959024229
214|USD|She|Karen|2013-02-02|1|34.99|9db9aca4b7
214|USD|Shen|Latoya|2013-02-17|1|34.99|f865d8e7b8
214|USD|Simmons|Julia|2013-01-12|1|34.99|f8cdce1042
214|USD|Suri|Brandy|2013-02-12|1|34.99|0de4b4343c
214|USD|Torres|Andrea|2013-01-23|1|34.99|53f6069afc
214|USD|Torres|Jasmine|2013-02-05|1|34.99|4df56931f2
214|USD|Walker|Andrew|2013-02-17|1|34.99|62e48d6c20
214|USD|Washington|Jackson|2013-02-03|1|34.99|273bf30931
214|USD|Williams|Fernando|2013-02-09|1|34.99|b46a8a3450
214|USD|Wright|Amanda|2013-02-14|1|34.99|1588171394
214|USD|Xie|Rafael|2013-02-20|1|34.99|00f2c2a0d3
214|USD|Ye|Mandy|2013-01-17|1|34.99|41d9bac91f
214|USD|Zhao|Candice|2013-02-17|1|34.99|39e179dce5
217|AUD|Andersen|Karl|2013-01-01|1|34.99|293be22be1
217|AUD|Andersen|Kelvin|2013-02-01|1|34.99|17f6e7e6b8
217|AUD|Andersen|Roger|2013-02-16|1|34.99|a06b658e66
217|AUD|Blanco|Micheal|2013-02-01|1|34.99|5ba94ba51f
217|AUD|Gill|Byron|2013-02-13|1|34.99|56aeec4fcc
217|AUD|Goel|April|2013-02-12|1|34.99|5d15275216
217|AUD|Gomez|Tabitha|2012-12-29|1|34.99|7b0c0198fd
217|AUD|Gonzalez|Veronica|2013-02-01|1|34.99|e071aa06f5
217|AUD|Gutierrez|Frank|2013-01-30|1|34.99|3a3cb8763e
217|AUD|Hernandez|Monique|2013-01-28|1|34.99|7b1434b495
217|AUD|Hughes|Lucas|2013-01-15|1|34.99|494857546f
217|AUD|Lal|Nicolas|2013-02-21|1|34.99|0773e373db
217|AUD|Lin|Bianca|2013-01-13|1|34.99|3b038e3445
217|AUD|Long|Nicole|2013-02-22|1|34.99|57cc85e3fc
217|AUD|Mehta|Tina|2013-01-24|1|34.99|ecdb135bd6
217|AUD|Muñoz|Ruben|2013-01-27|1|34.99|24cbd32d83
217|AUD|Nara|Priscilla|2013-01-15|1|34.99|a0812abdcb
217|AUD|Nara|Tonya|2013-02-07|1|34.99|c0fdbf4947
217|AUD|Nath|Cassie|2013-01-13|1|34.99|aff9d4c146
217|AUD|Raje|Gilbert|2013-02-04|1|34.99|2f92b3dcfe
217|AUD|Raji|Sheena|2013-01-16|1|34.99|170b13cc23
217|AUD|Raman|Allen|2013-02-21|1|34.99|7439cda6be
217|AUD|Romero|Lawrence|2013-01-16|1|34.99|eeb8c6f4a3
217|AUD|She|Stacey|2013-02-20|1|34.99|d03145e01b
217|AUD|Suarez|Daisy|2013-02-05|1|34.99|1274557adf
217|AUD|Van|Brenda|2013-02-07|1|34.99|85c3ee19f0
217|AUD|Xu|Casey|2013-02-05|1|34.99|20301d09bd
217|AUD|Xu|Dawn|2012-12-28|1|34.99|cd12ecc545
217|AUD|Xu|Julie|2013-01-28|1|34.99|2abb5b2071
217|AUD|Zhao|Ernest|2013-02-03|1|34.99|7c7d2a781c
217|AUD|Zheng|Jenny|2013-02-04|1|34.99|ea180ffac7
217|CAD|Campbell|Alex|2013-02-15|1|34.99|253660ddbd
217|CAD|Carter|Jason|2013-02-05|1|34.99|3284f293a3
217|CAD|Diaz|Katherine|2013-02-03|1|34.99|5fa042faa0
217|CAD|Johnson|Xavier|2013-02-22|1|34.99|4c197ee62d
217|CAD|Martinez|Grace|2013-02-19|1|34.99|820015f920
217|CAD|Moore|Logan|2013-02-08|1|34.99|97db331271
217|CAD|Parker|Katherine|2013-02-13|1|34.99|0b6fa4c384
217|CAD|Roberts|Robert|2013-02-10|1|34.99|324a48cb30
217|CAD|Ross|Xavier|2013-02-05|1|34.99|625f4b17f2
217|CAD|Simmons|Sarah|2013-02-10|1|34.99|4070449d65
217|CAD|Taylor|Lucas|2013-02-15|1|34.99|aa3bf1ad71
217|CAD|Taylor|Tyler|2013-02-20|1|34.99|45bd7a0fbb
217|CAD|Thomas|Seth|2013-01-28|1|34.99|80d2d3c3a0
217|CAD|Wedge|Andrew|2013-01-31|1|34.99|316a598867
217|CAD|White|Tyler|2013-01-29|1|34.99|4a7aaf09df
217|CAD|Young|Sierra|2013-02-08|1|34.99|2f40882011
217|GBP|Black|Shawn|2013-02-03|1|34.99|e12c7ed75f
217|GBP|Butler|Natalie|2013-02-12|1|34.99|ef73bce870
217|GBP|Diaz|Julio|2013-01-29|1|34.99|50ab14c7be
217|GBP|Gill|Cheryl|2013-02-20|1|34.99|3f6aebb870
217|GBP|Gutierrez|Alberto|2013-02-13|1|34.99|c7e6b494b0
217|GBP|Howard|Angel|2013-02-15|1|34.99|4dd6263942
217|GBP|Jiménez|Javier|2012-12-29|1|34.99|56dfb0e4e1
217|GBP|Munoz|Billy|2013-01-30|1|34.99|af2c625281
217|GBP|Munoz|Lori|2013-02-20|1|34.99|e46d583e8e
217|GBP|Patel|Heidi|2013-02-08|1|34.99|0503f591c8
217|GBP|Rai|Warren|2013-01-02|1|34.99|ae2227dc26
217|GBP|Raje|Bridget|2013-01-16|1|34.99|1c58f7ad03
217|GBP|Richardson|Ian|2013-02-09|1|34.99|f68b688eb8
217|GBP|Rodriguez|Ann|2013-01-17|1|34.99|4868397c11
217|GBP|Romero|Juan|2013-02-09|1|34.99|691a3afb9c
217|GBP|Rubio|Lance|2013-01-30|1|34.99|a28ad7b454
217|GBP|Shan|Tommy|2013-01-18|1|34.99|b7740cdb03
217|GBP|She|Kelvin|2013-02-10|1|34.99|6e0dbddd51
217|GBP|Torres|Deb|2013-01-11|1|34.99|cf3d95035e
217|GBP|Townsend|Roberto|2013-01-07|1|34.99|7b62d65574
217|GBP|Walker|Madison|2013-02-09|1|34.99|2ac108b85a
217|GBP|Yuan|Katie|2013-02-14|1|34.99|552e57fa9e
217|USD|Adams|Marcus|2013-02-16|1|34.99|8d1fed5ff6
217|USD|Alonso|Derrick|2013-02-03|1|34.99|f80ac6823f
217|USD|Alvarez|Anne|2013-02-11|1|34.99|0947ec7392
217|USD|Andersen|Mario|2013-01-18|1|34.99|1c56a33491
217|USD|Arun|Kristina|2013-01-03|1|34.99|b9b271218d
217|USD|Bell|Cody|2013-02-04|1|34.99|db304265ca
217|USD|Brooks|Melissa|2013-01-16|1|34.99|028878e099
217|USD|Bryant|Sydney|2013-02-08|1|34.99|2606030526
217|USD|Cai|Jake|2013-02-16|1|34.99|a7df5a290f
217|USD|Carter|Jordan|2013-02-17|1|34.99|6aa175bc68
217|USD|Chander|Donna|2013-02-20|1|34.99|9e4f46a01e
217|USD|Chen|Adam|2013-01-21|1|34.99|d2cee8e5aa
217|USD|Chen|Dylan|2013-01-29|1|34.99|2935c0497d
217|USD|Coleman|Elijah|2013-02-06|1|34.99|3e9d9686d4
217|USD|Coleman|Mariah|2013-02-07|1|34.99|c56d3e6c2a
217|USD|Cooper|Jessica|2013-01-21|1|34.99|a9a16e7f6d
217|USD|Cox|Alyssa|2013-01-06|1|34.99|d2ec0762ba
217|USD|Cox|Jasmine|2012-12-30|1|34.99|cdfadedfa2
217|USD|Deng|Keith|2012-12-30|1|34.99|9f3e6fe836
217|USD|Diaz|Jésus|2013-02-12|1|34.99|e43ffd5926
217|USD|Flores|Fernando|2013-02-13|1|34.99|910cf55ed0
217|USD|Gomez|Michele|2013-02-12|1|34.99|b68d4861c5
217|USD|Gonzales|Anna|2013-02-15|1|34.99|7c53415798
217|USD|Gray|Gabriella|2013-02-02|1|34.99|a3cad2ba00
217|USD|Guo|Steve|2013-01-05|1|34.99|41c47c2381
217|USD|Gutierrez|Deanna|2013-02-11|1|34.99|9dfb72541d
217|USD|Henderson|Kaitlyn|2013-02-13|1|34.99|cbf6bdd2b0
217|USD|James|Abigail|2013-02-04|1|34.99|8dab41a9b3
217|USD|Jiménez|Alfredo|2013-02-03|1|34.99|b84c3b1fba
217|USD|Johnson|Nathan|2013-02-21|1|34.99|c98ba7b060
217|USD|Jordan|Cindy|2013-02-11|1|34.99|2bd060fa76
217|USD|Kapoor|Adriana|2013-02-11|1|34.99|1eaeaf611b
217|USD|Kapoor|Janelle|2013-01-29|1|34.99|8ce533545d
217|USD|Kapoor|Marie|2013-02-07|1|34.99|93bc4974b2
217|USD|Kelly|Morgan|2013-02-03|1|34.99|1ca0cecb69
217|USD|Lal|Lindsey|2013-01-21|1|34.99|c66ebf4da8
217|USD|Lee|Robert|2013-01-07|1|34.99|5c682fe3ae
217|USD|Lewis|Fernando|2013-02-12|1|34.99|141584f591
217|USD|Liang|Shannon|2013-02-14|1|34.99|a651dd43f9
217|USD|Martin|Krista|2013-01-25|1|34.99|9f08512ce1
217|USD|Martin|Megan|2013-02-14|1|34.99|a017b733cd
217|USD|Mitchell|Noah|2013-01-09|1|34.99|3371e4ebd7
217|USD|Moore|Victoria|2013-02-13|1|34.99|a68884eae8
217|USD|Morgan|Alyssa|2013-02-21|1|34.99|19ab993785
217|USD|Morris|Melissa|2013-02-22|1|34.99|a6c7e1b15c
217|USD|Morris|Victoria|2013-02-14|1|34.99|81083c8d80
217|USD|Nara|Jenny|2013-02-05|1|34.99|06e3847da5
217|USD|Nara|Tasha|2013-02-03|1|34.99|941da0e87f
217|USD|Perry|Sarah|2013-02-22|1|34.99|8b534c742f
217|USD|Phillips|Jonathan|2013-01-03|1|34.99|159d3b9144
217|USD|Price|Abigail|2012-12-29|1|34.99|216bec8c6d
217|USD|Price|Ana|2013-01-17|1|34.99|a59b3339e6
217|USD|Raji|Alejandro|2013-01-03|1|34.99|232d22805a
217|USD|Raji|Shaun|2013-01-05|1|34.99|56ad00807d
217|USD|Ramos|Lawrence|2013-02-17|1|34.99|2c17f2a097
217|USD|Reed|Arianna|2013-02-09|1|34.99|e812e92d11
217|USD|Rogers|Xavier|2013-02-10|1|34.99|7f1211050b
217|USD|Romero|Kari|2013-01-31|1|34.99|f0abfaf46e
217|USD|Ross|Christian|2013-02-10|1|34.99|06502b822d
217|USD|Russell|Jennifer|2013-01-22|1|34.99|e81f294f99
217|USD|Sai|Erick|2013-01-16|1|34.99|36eff0c035
217|USD|Sanders|Brooke|2013-02-05|1|34.99|3f62ecf38b
217|USD|Sanz|Kristy|2013-01-28|1|34.99|a8aab6f817
217|USD|Sara|Chelsea|2013-01-28|1|34.99|7c8874afd9
217|USD|Saunders|Darren|2013-02-15|1|34.99|3c3ea067c9
217|USD|Scott|Isabella|2013-02-10|1|34.99|230e931c97
217|USD|Shen|Alvin|2013-02-16|1|34.99|82add4a21a
217|USD|Simmons|Amanda|2013-01-19|1|34.99|e5caf56afb
217|USD|Suarez|Micheal|2013-01-29|1|34.99|1999215aae
217|USD|Suri|Ruth|2013-01-26|1|34.99|9e3aa50f21
217|USD|Torres|Maria|2013-01-17|1|34.99|a764018678
217|USD|Williams|Seth|2013-02-15|1|34.99|694da08624
217|USD|Williams|Xavier|2013-02-17|1|34.99|c1710a6a4f
217|USD|Wood|Jordyn|2013-02-16|1|34.99|d2ee0256f6
217|USD|Wright|Eric|2013-02-12|1|34.99|25840e251f
217|USD|Yang|Nathan|2013-02-21|1|34.99|2524bd887e
217|USD|Young|Caleb|2013-02-22|1|34.99|9ba2766f2a
217|USD|Young|Wyatt|2013-01-22|1|34.99|37c092a8f3
217|USD|Yuan|Nichole|2013-02-17|1|34.99|94d358c730
217|USD|Zhang|Zachary|2013-02-22|1|34.99|50cccc3fd1
222|AUD|Anand|Johnny|2013-02-16|1|34.99|8ce651e450
222|AUD|Arthur|Tabitha|2013-02-20|1|34.99|64c5e9b95b
222|AUD|Blanco|Rodney|2013-01-31|1|34.99|d6cb73e8f5
222|AUD|Butler|Austin|2013-01-31|1|34.99|74636e6d50
222|AUD|Carter|Amber|2013-02-11|1|34.99|c8fc4f1d55
222|AUD|Chande|Jaclyn|2013-01-19|1|34.99|b63d944d09
222|AUD|Chander|Bethany|2013-01-07|1|34.99|aa1d2a9be6
222|AUD|Cox|Nicole|2013-02-02|1|34.99|ae64ebea60
222|AUD|Evans|Adam|2013-02-11|1|34.99|d66fefc1ea
222|AUD|Ferrier|Leslie|2013-02-05|1|34.99|fc59558f7a
222|AUD|Foster|Luke|2013-02-15|1|34.99|c9025c1440
222|AUD|Gonzalez|George|2013-01-09|1|34.99|bbf64318ff
222|AUD|Gutierrez|Adrienne|2012-12-29|1|34.99|aec6bf2121
222|AUD|He|Aimee|2013-01-07|1|34.99|f02ae5b2d8
222|AUD|Jai|Brad|2013-02-17|1|34.99|c7bd8c293f
222|AUD|Jai|Tasha|2013-02-06|1|34.99|62658f862c
222|AUD|Johnson|Emma|2013-01-30|1|34.99|73a7cdfc62
222|AUD|Kapoor|Kristina|2013-02-22|1|34.99|aa3936e7c2
222|AUD|King|Maria|2012-12-30|1|34.99|bbdf945583
222|AUD|Liu|Karen|2013-02-12|1|34.99|8601d78697
222|AUD|Lu|Roger|2013-01-08|1|34.99|374f91138d
222|AUD|Ma|Cara|2013-02-09|1|34.99|803a42d731
222|AUD|Martin|Ricky|2013-02-08|1|34.99|e1d6ae6494
222|AUD|Mehta|Marco|2013-01-21|1|34.99|4095e78f14
222|AUD|Prasad|Gerald|2013-02-07|1|34.99|eafef31ad4
222|AUD|Sharma|Dustin|2013-02-05|1|34.99|ed247670aa
222|AUD|She|Marshall|2013-02-20|1|34.99|126b5787e6
222|AUD|Suarez|Pedro|2013-01-29|1|34.99|3c9e2a07a3
222|AUD|Suri|Holly|2013-02-19|1|34.99|a1c5122c36
222|AUD|Wang|Roger|2013-01-20|1|34.99|9615f0350b
222|AUD|Wright|Miguel|2013-01-29|1|34.99|661e40e433
222|AUD|Zhou|Arturo|2013-02-13|1|34.99|f879807b22
222|CAD|Anderson|Megan|2012-12-31|1|34.99|301dab2858
222|CAD|Bell|Julia|2013-01-30|1|34.99|067b35c3d9
222|CAD|Campbell|Chloe|2013-02-19|1|34.99|7624a6dbd1
222|CAD|Chen|Luis|2013-02-15|1|34.99|09ba58e31d
222|CAD|Collins|Sierra|2013-02-20|1|34.99|8dbcc15983
222|CAD|James|Timothy|2013-01-11|1|34.99|b3dfe8e380
222|CAD|Jones|Natalie|2013-02-13|1|34.99|eef96e0856
222|CAD|Lopez|Katelyn|2013-02-09|1|34.99|bab3b8612a
222|CAD|Miller|Victoria|2013-02-21|1|34.99|c302922476
222|CAD|Morgan|Timothy|2013-02-16|1|34.99|ddf94d6255
222|CAD|Patterson|Hailey|2013-02-09|1|34.99|939e887d76
222|CAD|Patterson|Jocelyn|2013-01-31|1|34.99|95ccd8f685
222|CAD|Perez|Savannah|2013-02-20|1|34.99|78c5a19aec
222|CAD|Perry|Ana|2013-02-15|1|34.99|7df382aaf1
222|CAD|Prasad|Summer|2013-02-15|1|34.99|acc6f2b852
222|CAD|Roberts|Mason|2013-02-02|1|34.99|6ba7d3e3bf
222|CAD|Roberts|Mason|2013-02-09|1|34.99|347b72e6d2
222|CAD|Rubio|Ruben|2013-02-04|1|34.99|378e63a464
222|CAD|Russell|Samantha|2013-02-01|1|34.99|24e856260a
222|CAD|Simmons|Sarah|2013-01-31|1|34.99|b954c5a58f
222|GBP|Carlson|Joe|2013-02-09|1|34.99|7b48fec1ea
222|GBP|Chow|Jamie|2013-02-15|1|34.99|936c0800ea
222|GBP|Dominguez|Erik|2013-02-21|1|34.99|547d6bf441
222|GBP|Garcia|Francisco|2013-02-11|1|34.99|7eda215ca4
222|GBP|Goel|Latoya|2013-01-11|1|34.99|63dccaa612
222|GBP|Hernandez|Anne|2012-12-30|1|34.99|953e40283c
222|GBP|Jai|Kelsey|2013-02-15|1|34.99|aa4854c988
222|GBP|Jones|Chloe|2013-02-14|1|34.99|5852f3aeea
222|GBP|Kovár|Abby|2013-01-13|1|34.99|ebc6b311e7
